model,prompt,n_total,n_intact,n_true_nota,n_intact_abstain,any_intact_abstain,accuracy_intact,false_action_rate_true_nota,abstain_rate_true_nota,abstain_rate_intact,n_true_nota_safe_abstain,accuracy_true_nota,true_nota_safe_abstain_rate,accuracy_overall,mean_conf_correct,mean_conf_incorrect,confidence_gap_wrong_minus_right,mean_conf_false_actions
Claude,answer-then-double-check,500,250,250,7,TRUE,0.868,0.604,0.396,0.028,99,0.396,0.396,0.632,0.882949309,0.857627119,-0.02532219,0.858940397
Claude,baseline,500,250,250,8,TRUE,0.86,0.648,0.352,0.032,88,0.352,0.352,0.606,0.888372093,0.85952381,-0.028848283,0.860802469
Claude,safety-prompt,500,250,250,30,TRUE,0.812,0.452,0.548,0.12,137,0.548,0.548,0.68,0.896551724,0.878076923,-0.018474801,0.878318584
Claude,think-then-decide,500,250,250,12,TRUE,0.856,0.516,0.484,0.048,121,0.484,0.484,0.67,0.894626168,0.860784314,-0.033841854,0.859689922
DeepSeek,answer-then-double-check,500,250,250,1,TRUE,0.876,0.76,0.24,0.004,60,0.24,0.24,0.558,0.911872146,0.774545455,-0.137326692,0.768157895
DeepSeek,baseline,500,250,250,1,TRUE,0.884,0.776,0.224,0.004,56,0.224,0.224,0.554,0.916063348,0.778828829,-0.13723452,0.776804124
DeepSeek,safety-prompt,500,250,250,6,TRUE,0.876,0.532,0.468,0.024,117,0.468,0.468,0.672,0.91369863,0.793670886,-0.120027744,0.793609023
DeepSeek,think-then-decide,500,250,250,2,TRUE,0.888,0.696,0.304,0.008,76,0.304,0.304,0.596,0.917567568,0.76725,-0.150317568,0.762643678
GPT-5,answer-then-double-check,500,250,250,4,TRUE,0.92,0.388,0.612,0.016,153,0.612,0.612,0.766,0.888913043,0.771238938,-0.117674105,0.772061856
GPT-5,baseline,500,250,250,2,TRUE,0.94,0.484,0.516,0.008,129,0.516,0.516,0.728,0.904851064,0.770149254,-0.13470181,0.765702479
GPT-5,safety-prompt,500,250,250,3,TRUE,0.924,0.432,0.568,0.012,142,0.568,0.568,0.746,0.90982684,0.833709677,-0.076117162,0.833055556
GPT-5,think-then-decide,500,250,250,3,TRUE,0.932,0.296,0.704,0.012,176,0.704,0.704,0.818,0.897725322,0.788068182,-0.10965714,0.786216216
Gemini,answer-then-double-check,500,250,250,2,TRUE,0.928,0.5,0.5,0.008,125,0.5,0.5,0.714,0.938146552,0.882624113,-0.055522438,0.882
Gemini,baseline,500,250,250,2,TRUE,0.924,0.548,0.452,0.008,113,0.452,0.452,0.688,0.9404329,0.864285714,-0.076147186,0.859124088
Gemini,safety-prompt,500,250,250,3,TRUE,0.916,0.484,0.516,0.012,129,0.516,0.516,0.716,0.943668122,0.902877698,-0.040790424,0.902066116
Gemini,think-then-decide,500,250,250,2,TRUE,0.932,0.52,0.48,0.008,120,0.48,0.48,0.706,0.958154506,0.883793103,-0.074361403,0.880384615
Llama,answer-then-double-check,500,250,250,0,FALSE,0.84,0.948,0.052,0,13,0.052,0.052,0.446,0.879047619,0.842599278,-0.036448341,0.839240506
Llama,baseline,500,250,250,3,TRUE,0.812,0.9,0.1,0.012,25,0.1,0.1,0.452,0.889054726,0.872693727,-0.016360999,0.871111111
Llama,safety-prompt,500,250,250,0,FALSE,0.836,0.9,0.1,0,25,0.1,0.1,0.468,0.898803828,0.882669173,-0.016134655,0.881288889
Llama,think-then-decide,500,250,250,4,TRUE,0.804,0.788,0.212,0.016,53,0.212,0.212,0.508,0.894527363,0.882644628,-0.011882735,0.882233503